,PathNumber,ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z,transformed_HMD_x,transformed_HMD_y
130,1,TaskBuilding_48,2,0.02132797241210937,249,-217.81635284423828,2.5949188470840454,-114.68363571166992,1150.4346057220212,1574.709456757219
131,1,TaskBuilding_45,20,0.28966403007507324,250,-217.0440216064453,2.5878465175628658,-114.6179428100586,1153.6272563303917,1574.9791680307285
132,1,TaskBuilding_48,5,0.06646418571472168,251,-216.2431945800781,2.5793373584747314,-114.5418930053711,1156.9376206592506,1575.291539547305
133,1,NoHouse,46,0.7653295993804932,252,-214.2458267211914,2.5726089477539062,-114.03453826904295,1165.190850619219,1577.3811945742236
134,1,Avatar,36,0.5341904163360596,253,-211.19332122802732,2.5604981184005737,-112.64403915405272,1177.7975194975031,1583.1123404189811
135,1,NoHouse,17,0.24452900886535645,254,-209.09141540527344,2.547168254852295,-111.99534606933594,1186.4810179048227,1585.78472342334
136,1,Avatar,70,1.0992496013641355,255,-206.1572113037109,2.5144529342651367,-111.35246658325195,1198.6051808791065,1588.4315781880237
137,1,NoHouse,1,0.011789798736572266,256,-203.19839477539062,2.4801044464111333,-110.88117980957031,1210.8322942842824,1590.3703864243043
138,1,Avatar,2,0.03323221206665039,257,-203.11602783203125,2.479068756103516,-110.86801147460938,1211.1726629960522,1590.4245590469473
139,1,NoHouse,5,0.054692745208740234,258,-202.7601318359375,2.47468638420105,-110.81060028076172,1212.6433392799536,1590.6607455790358
140,1,Avatar,16,0.2563002109527588,259,-201.9919586181641,2.4656693935394287,-110.68617630004884,1215.8176490618935,1591.1726053430566
141,1,NoHouse,51,0.8084802627563477,260,-199.2515411376953,2.4366466999053955,-110.24758911132812,1227.1416232457332,1592.9768507486915
142,1,Building_154,1,0.021823883056640625,261,-197.2881622314453,2.4148967266082764,-109.7000732421875,1235.2522537494806,1595.231813552064
143,1,NoHouse,1,0.022320032119750977,262,-197.23556518554688,2.414314985275269,-109.67860412597656,1235.4694627869421,1595.3202793122873
144,1,Building_154,2,0.03422331809997558,263,-197.1330718994141,2.4132221937179565,-109.63701629638672,1235.8927294007499,1595.4916450820456
145,1,NoHouse,2,0.034224271774291985,264,-196.92811584472656,2.411592721939087,-109.5542984008789,1236.7391394534823,1595.8324877721425
146,1,Building_154,1,0.022320032119750977,265,-196.7745819091797,2.4104444980621342,-109.49298095703124,1237.373195749889,1596.085145494054
147,1,NoHouse,1,0.010912418365478516,266,-196.67184448242188,2.409688711166382,-109.45285034179688,1237.7974832619693,1596.2504987229017
148,1,Building_154,2,0.02282261848449707,267,-196.5425567626953,2.4086785316467285,-109.4035987854004,1238.3314300148788,1596.453411675976
149,1,NoHouse,10,0.15573740005493164,268,-196.0991058349609,2.4046337604522705,-109.24529647827148,1240.1629374550066,1597.105602280902
150,1,Building_154,4,0.0882875919342041,269,-195.70581817626956,2.400720477104187,-109.10823059082031,1241.7872567489944,1597.6702964481874
151,1,Building_236,20,0.3665440082550049,270,-194.8118896484375,2.3922256231307983,-108.79947280883788,1245.4793785778838,1598.9422956518074
152,1,Building_154,3,0.033728361129760735,271,-194.15313720703125,2.385847806930542,-108.58172607421876,1248.200216714708,1599.839265529819
153,1,NoHouse,16,0.2440321445465088,272,-193.4367828369141,2.3776975870132446,-108.35662078857422,1251.1590542149888,1600.7664895611338
154,1,Building_154,9,0.18897581100463867,273,-192.40521240234366,2.367790937423706,-108.03041076660156,1255.4198016267915,1602.1101699463566
155,1,NoHouse,46,0.7876482009887695,274,-190.224853515625,2.345921516418457,-107.36952209472656,1264.4255494608697,1604.8321899024863
156,1,Avatar,113,1.8669438362121584,275,-184.3691864013672,2.3017733097076416,-105.32292175292969,1288.608160120035,1613.2629349032964
157,1,NoHouse,50,0.7767367362976074,276,-178.59640502929688,2.2357364892959595,-103.09639739990234,1312.4450444103315,1622.435472193933
158,1,Building_150,1,0.021823883056640625,277,-176.52294921875,2.2199079990386963,-102.09711456298828,1321.0045688834907,1626.5530851136446
159,1,NoHouse,3,0.0441439151763916,278,-176.42190551757812,2.2183856964111333,-102.05099487304688,1321.4217107088214,1626.743111220731
160,1,Building_150,4,0.0892801284790039,279,-176.11892700195312,2.213825464248657,-101.9162826538086,1322.6725359800125,1627.2981459222478
161,1,NoHouse,10,0.15574407577514648,280,-175.5073699951172,2.2061034440994263,-101.65145874023438,1325.1973578181533,1628.3892218835758
162,1,TaskBuilding_43,1,0.011408090591430664,281,-175.15036010742188,2.2014682292938232,-101.49915313720705,1326.6712915734101,1629.0167075279096
163,1,Avatar,63,1.0222561359405518,282,-172.66189575195312,2.171576023101806,-100.41410064697266,1336.9446859196528,1633.4870796088162
164,1,NoHouse,126,2.009296417236328,283,-165.49183654785156,2.076204776763916,-97.35609436035156,1366.5447603399243,1646.0849822757796
165,1,Avatar,97,1.5108170509338381,284,-157.63681030273438,2.0942201614379883,-92.97240447998048,1398.9611809200017,1664.148369095978
166,1,NoHouse,11,0.14383959770202634,285,-153.87413024902344,2.084325075149536,-90.84046936035156,1414.4880787389027,1672.9328843214303
167,1,Avatar,16,0.2227039337158203,286,-153.1308135986328,2.122192144393921,-90.25908660888672,1417.5539896284706,1675.329082405939
168,1,NoHouse,17,0.25494384765625,287,-152.1367950439453,2.1782879829406743,-89.46110534667969,1421.6537573593587,1678.618048252848
169,1,crane_1,23,0.4330084323883057,288,-150.83192443847656,2.1374728679656982,-88.5135269165039,1427.0364219599514,1682.5232558942212
170,1,NoHouse,4,0.06745576858520508,289,-149.8518524169922,2.103877544403076,-87.88094329833984,1431.0799093302976,1685.1299955559607
171,1,Building_101,10,0.14433646202087402,290,-149.47366333007812,2.0890240669250493,-87.65156173706055,1432.640321419044,1686.075148579292
172,1,NoHouse,1,0.02232027053833008,291,-148.99244689941406,2.067501783370972,-87.3764877319336,1434.625959663007,1687.2085348229934
173,1,crane_1,8,0.11110401153564453,292,-148.70247650146484,2.059094190597534,-87.21304702758789,1435.8224453459188,1687.881952698027
174,1,NoHit,1,0.021825075149536133,293,-148.31715393066406,2.046213150024414,-86.99549865722656,1437.4124420928183,1688.7782703726202
175,1,Building_156,6,0.1001911163330078,294,-148.0281982421875,2.041551232337952,-86.83012008666992,1438.6047441500634,1689.459648417604
176,1,TaskBuilding_43,7,0.11953568458557128,295,-147.59625244140625,2.0226500034332275,-86.5821762084961,1440.3870467056759,1690.4812440566716
177,1,Building_156,5,0.07787179946899414,296,-147.11431884765625,2.013033151626587,-86.30595397949219,1442.3756054107844,1691.6193302149277
178,1,Building_155,1,0.023314476013183597,297,-146.92141723632812,2.0091333389282227,-86.1959457397461,1443.1715600690875,1692.0725804817457
179,1,Building_156,3,0.043149709701538086,298,-146.77664184570312,2.0062625408172607,-86.11331176757812,1443.7689338326343,1692.41304452547
180,1,Building_155,7,0.11160063743591307,299,-146.39108276367188,1.998782634735108,-85.89285278320312,1445.3598248735366,1693.3213674373596
181,1,Building_156,5,0.08878374099731445,300,-146.00985717773438,1.9911363124847408,-85.67433166503906,1446.9328253032652,1694.2217054971952
182,1,Building_155,2,0.022815465927124023,301,-145.77137756347656,1.9857128858566284,-85.53728103637695,1447.9168263862612,1694.7863893709964
183,1,Building_156,2,0.023313045501708984,302,-145.60365295410156,1.9819223880767824,-85.44049835205078,1448.608877718276,1695.185133180028
