ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z,transformed_HMD_x,transformed_HMD_y
Building_154,63,1.154191255569458,19995,-173.2826690673828,-0.4043288230895996,-206.86605834960938,,
Building_154,33,0.5446071624755859,19999,-171.80247497558594,-0.3933579921722412,-205.93832397460938,,
Building_154,46,0.7866554260253906,20014,-167.3450164794922,-0.3378927707672119,-201.6107177734375,,
Building_154,70,1.1437759399414062,20037,-161.0611114501953,-0.19463670253753665,-194.95135498046875,,
Building_154,40,0.5609745979309082,20542,-78.5394287109375,-1.3926223516464231,-166.3987274169922,,
Building_154,36,0.5034406185150146,20990,-53.87847900390625,-0.127579927444458,-89.91625213623047,,
Building_154,24,0.3556318283081055,21002,-53.90597534179688,-0.1342906951904297,-89.9193344116211,,
TaskBuilding_35,64,1.045069932937622,21164,-30.546035766601573,0.13856858015060425,-52.16649627685547,,
Building_166,31,0.4364800453186035,21262,-24.78013610839844,0.17655909061431885,-46.35597229003906,,
HighSilo-TaskBuilding_49,31,0.4062237739562988,21264,-26.21305847167969,0.2133629322052002,-45.303955078125,,
TaskBuilding_35,26,0.3968000411987305,21292,-28.0511474609375,0.28262174129486084,-42.55494689941406,,
Building_154,22,0.3764622211456299,21363,-43.64363098144531,1.0363620519638062,-22.28292846679687,,
