ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z
TaskBuilding_7,1,0.015872478485107422,39341,-155.5013885498047,0.3636002540588379,-166.66302490234375
Building_220,11,0.1755836009979248,39342,-155.8889923095703,0.3644286394119263,-166.77810668945312
NoHouse,2,0.03174328804016113,39343,-156.2913360595703,0.37509310245513916,-166.89157104492188
Building_220,13,0.2058403491973877,39344,-156.6203155517578,0.39573895931243896,-166.96957397460938
TaskBuilding_7,17,0.26436734199523926,39345,-157.42713928222656,0.4138839244842529,-167.11798095703125
Building_220,3,0.04563331604003906,39346,-158.04542541503906,0.4279756546020508,-167.19915771484375
Building_215,29,0.4305262565612793,39347,-158.9362335205078,0.4506206512451172,-167.24700927734375
Building_220,30,0.447887659072876,39348,-160.5031280517578,0.4976160526275635,-167.1479034423828
Building_215,1,0.013888120651245117,39349,-161.2512664794922,0.5215048789978027,-167.00296020507812
Building_211,2,0.03472018241882324,39350,-161.35647583007812,0.5249488353729248,-166.9768829345703
NoHouse,2,0.029760360717773438,39351,-161.47911071777344,0.5289804935455322,-166.94398498535156
NoHit,5,0.07886362075805664,39352,-161.6728973388672,0.5357341766357422,-166.8873291015625
Building_211,2,0.030753374099731445,39353,-161.89768981933594,0.5432558059692383,-166.81488037109375
NoHouse,8,0.12251019477844238,39354,-162.06985473632812,0.5493550300598145,-166.74099731445312
Building_211,1,0.01686573028564453,39355,-162.3273468017578,0.558835506439209,-166.6217041015625
NoHouse,2,0.03174185752868652,39356,-162.4117431640625,0.5620360374450684,-166.58103942871094
Building_211,6,0.09523248672485352,39357,-162.57542419433594,0.5681743621826172,-166.49977111816406
NoHouse,1,0.013392210006713867,39358,-162.6802520751953,0.571230411529541,-166.44522094726562
Building_211,43,0.652240514755249,39359,-163.6024932861328,0.5979530811309814,-165.93655395507812
NoHouse,23,0.3432304859161377,39360,-165.1615753173828,0.6408870220184326,-165.17510986328125
NoHit,3,0.04315185546875,39363,-165.9782257080078,0.6807491779327393,-164.83956909179688
Building_207,1,0.013888120651245117,39364,-166.13697814941406,0.6806201934814453,-164.77880859375
NoHit,5,0.07092905044555664,39365,-166.29652404785156,0.6815166473388672,-164.72000122070312
Building_215,2,0.027278900146484375,39366,-166.49819946289062,0.6871252059936523,-164.64865112304688
NoHouse,7,0.09920048713684082,39367,-166.7809600830078,0.6953885555267334,-164.55361938476562
Building_221,16,0.22320008277893066,39368,-167.3927001953125,0.7129037380218506,-164.37066650390625
TaskBuilding_7,5,0.06993556022644043,39369,-167.9220428466797,0.7294871807098389,-164.2366943359375
Building_221,1,0.014881372451782227,39370,-167.93678283691406,0.7303173542022705,-164.23321533203125
TaskBuilding_7,5,0.06844615936279297,39371,-167.9369659423828,0.7307498455047607,-164.23519897460938
Building_221,3,0.041167259216308594,39372,-167.93763732910156,0.7307708263397217,-164.2381591796875
TaskBuilding_7,60,0.8585755825042725,39373,-167.94215393066406,0.7279975414276123,-164.2458953857422
Building_220,4,0.06348943710327148,39374,-167.94143676757812,0.7268272638320923,-164.2374267578125
NoHouse,1,0.015375137329101562,39375,-167.94065856933594,0.7258467674255371,-164.23348999023438
Building_210,1,0.014385700225830078,39376,-167.9403839111328,0.7256200313568115,-164.23223876953125
NoHouse,8,0.13193440437316895,39377,-167.937255859375,0.7244678735733032,-164.2244415283203
TaskBuilding_48,59,0.9562869071960449,39378,-168.65049743652344,0.744617223739624,-164.04019165039062
NoHouse,28,0.4325122833251953,39379,-171.4895782470703,0.838711142539978,-162.80303955078125
TaskBuilding_48,1,0.014879465103149414,39380,-172.32762145996094,0.8658497333526611,-162.30615234375
NoHouse,12,0.18699216842651367,39381,-172.7093505859375,0.8726760149002075,-162.08209228515625
Building_210,1,0.015871524810791016,39382,-173.03221130371094,0.8787662982940674,-161.88873291015625
NoHouse,1,0.014385461807250977,39383,-173.0638885498047,0.8793494701385498,-161.86965942382812
Building_210,5,0.07439994812011719,39384,-173.2533721923828,0.8828325271606445,-161.75570678710938
NoHouse,4,0.06199836730957031,39385,-173.53443908691406,0.8902784585952759,-161.58348083496094
Building_210,1,0.013889074325561523,39386,-173.65623474121094,0.8933601379394531,-161.50613403320312
NoHouse,6,0.0882868766784668,39387,-173.76161193847656,0.8958003520965576,-161.43923950195312
Building_210,11,0.15227293968200684,39388,-174.09901428222656,0.9041743278503418,-161.21975708007812
NoHouse,3,0.04364728927612305,39389,-174.3303985595703,0.9098505973815918,-161.06576538085938
Building_199,1,0.013887882232666016,39390,-174.4163055419922,0.9119672775268556,-161.0079345703125
NoHouse,12,0.1785597801208496,39391,-174.6983642578125,0.9190754890441895,-160.81349182128906
TaskBuilding_48,34,0.5287361145019531,39392,-175.6028594970703,0.9495795965194702,-160.0786895751953
NoHouse,36,0.5465912818908691,39393,-177.0283203125,0.9966343641281128,-158.7205810546875
Building_210,28,0.43399977684020996,39394,-178.34083557128906,1.0526386499404907,-157.66737365722656
NoHouse,9,0.12300872802734375,39395,-179.35523986816406,1.0823640823364258,-157.0587158203125
